timestamp,event_type,user_session
2024-01-01 00:00:00,click,24
2024-01-01 00:01:00,click,1
2024-01-01 00:02:00,scroll,26
2024-01-01 00:03:00,scroll,29
2024-01-01 00:04:00,scroll,27
2024-01-01 00:05:00,page_view,7
2024-01-01 00:06:00,page_view,12
2024-01-01 00:07:00,hover,7
2024-01-01 00:08:00,scroll,27
2024-01-01 00:09:00,hover,23
2024-01-01 00:10:00,scroll,7
2024-01-01 00:11:00,click,10
2024-01-01 00:12:00,page_view,16
2024-01-01 00:13:00,page_view,26
2024-01-01 00:14:00,exit,8
2024-01-01 00:15:00,hover,9
2024-01-01 00:16:00,exit,9
2024-01-01 00:17:00,exit,2
2024-01-01 00:18:00,page_view,13
2024-01-01 00:19:00,page_view,13
2024-01-01 00:20:00,page_view,23
2024-01-01 00:21:00,purchase,23
2024-01-01 00:22:00,hover,4
2024-01-01 00:23:00,click,25
2024-01-01 00:24:00,hover,24
2024-01-01 00:25:00,click,12
2024-01-01 00:26:00,scroll,17
2024-01-01 00:27:00,click,2
2024-01-01 00:28:00,page_view,13
2024-01-01 00:29:00,exit,29
2024-01-01 00:30:00,click,18
2024-01-01 00:31:00,click,28
2024-01-01 00:32:00,click,28
2024-01-01 00:33:00,page_view,27
2024-01-01 00:34:00,scroll,15
2024-01-01 00:35:00,click,8
2024-01-01 00:36:00,click,15
2024-01-01 00:37:00,scroll,1
2024-01-01 00:38:00,click,20
2024-01-01 00:39:00,hover,10
2024-01-01 00:40:00,click,12
2024-01-01 00:41:00,page_view,5
2024-01-01 00:42:00,click,9
2024-01-01 00:43:00,scroll,23
2024-01-01 00:44:00,click,8
2024-01-01 00:45:00,hover,16
2024-01-01 00:46:00,exit,14
2024-01-01 00:47:00,exit,27
2024-01-01 00:48:00,page_view,25
2024-01-01 00:49:00,scroll,13
2024-01-01 00:50:00,hover,23
2024-01-01 00:51:00,page_view,21
2024-01-01 00:52:00,click,13
2024-01-01 00:53:00,hover,5
2024-01-01 00:54:00,scroll,16
2024-01-01 00:55:00,click,26
2024-01-01 00:56:00,click,11
2024-01-01 00:57:00,click,22
2024-01-01 00:58:00,page_view,5
2024-01-01 00:59:00,click,13
2024-01-01 01:00:00,click,28
2024-01-01 01:01:00,click,11
2024-01-01 01:02:00,page_view,25
2024-01-01 01:03:00,hover,19
2024-01-01 01:04:00,scroll,3
2024-01-01 01:05:00,click,15
2024-01-01 01:06:00,click,7
2024-01-01 01:07:00,exit,7
2024-01-01 01:08:00,scroll,6
2024-01-01 01:09:00,scroll,3
2024-01-01 01:10:00,click,13
2024-01-01 01:11:00,hover,7
2024-01-01 01:12:00,page_view,5
2024-01-01 01:13:00,click,23
2024-01-01 01:14:00,click,18
2024-01-01 01:15:00,scroll,22
2024-01-01 01:16:00,hover,8
2024-01-01 01:17:00,exit,17
2024-01-01 01:18:00,page_view,20
2024-01-01 01:19:00,hover,27
2024-01-01 01:20:00,click,1
2024-01-01 01:21:00,page_view,14
2024-01-01 01:22:00,page_view,17
2024-01-01 01:23:00,click,10
2024-01-01 01:24:00,exit,12
2024-01-01 01:25:00,click,16
2024-01-01 01:26:00,scroll,14
2024-01-01 01:27:00,page_view,27
2024-01-01 01:28:00,page_view,16
2024-01-01 01:29:00,page_view,8
2024-01-01 01:30:00,click,23
2024-01-01 01:31:00,hover,28
2024-01-01 01:32:00,page_view,10
2024-01-01 01:33:00,scroll,29
2024-01-01 01:34:00,purchase,17
2024-01-01 01:35:00,hover,27
2024-01-01 01:36:00,click,29
2024-01-01 01:37:00,hover,18
2024-01-01 01:38:00,click,20
2024-01-01 01:39:00,click,16
2024-01-01 01:40:00,scroll,17
2024-01-01 01:41:00,purchase,16
2024-01-01 01:42:00,click,19
2024-01-01 01:43:00,page_view,24
2024-01-01 01:44:00,click,24
2024-01-01 01:45:00,hover,8
2024-01-01 01:46:00,page_view,6
2024-01-01 01:47:00,page_view,6
2024-01-01 01:48:00,click,21
2024-01-01 01:49:00,hover,29
2024-01-01 01:50:00,purchase,9
2024-01-01 01:51:00,page_view,4
2024-01-01 01:52:00,scroll,26
2024-01-01 01:53:00,exit,12
2024-01-01 01:54:00,click,28
2024-01-01 01:55:00,hover,12
2024-01-01 01:56:00,exit,23
2024-01-01 01:57:00,click,17
2024-01-01 01:58:00,scroll,15
2024-01-01 01:59:00,click,9
2024-01-01 02:00:00,page_view,7
2024-01-01 02:01:00,page_view,10
2024-01-01 02:02:00,scroll,16
2024-01-01 02:03:00,scroll,12
2024-01-01 02:04:00,click,25
2024-01-01 02:05:00,scroll,7
2024-01-01 02:06:00,click,18
2024-01-01 02:07:00,exit,15
2024-01-01 02:08:00,click,6
2024-01-01 02:09:00,exit,26
2024-01-01 02:10:00,page_view,12
2024-01-01 02:11:00,scroll,11
2024-01-01 02:12:00,hover,20
2024-01-01 02:13:00,page_view,3
2024-01-01 02:14:00,scroll,2
2024-01-01 02:15:00,click,6
2024-01-01 02:16:00,scroll,24
2024-01-01 02:17:00,click,22
2024-01-01 02:18:00,click,25
2024-01-01 02:19:00,scroll,5
2024-01-01 02:20:00,click,18
2024-01-01 02:21:00,click,16
2024-01-01 02:22:00,click,8
2024-01-01 02:23:00,click,25
2024-01-01 02:24:00,click,26
2024-01-01 02:25:00,purchase,20
2024-01-01 02:26:00,click,22
2024-01-01 02:27:00,page_view,11
2024-01-01 02:28:00,click,10
2024-01-01 02:29:00,exit,24
2024-01-01 02:30:00,click,25
2024-01-01 02:31:00,purchase,12
2024-01-01 02:32:00,page_view,21
2024-01-01 02:33:00,click,28
2024-01-01 02:34:00,exit,6
2024-01-01 02:35:00,page_view,27
2024-01-01 02:36:00,click,20
2024-01-01 02:37:00,hover,5
2024-01-01 02:38:00,exit,23
2024-01-01 02:39:00,scroll,9
2024-01-01 02:40:00,scroll,26
2024-01-01 02:41:00,hover,27
2024-01-01 02:42:00,page_view,29
2024-01-01 02:43:00,exit,16
2024-01-01 02:44:00,page_view,22
2024-01-01 02:45:00,click,14
2024-01-01 02:46:00,exit,22
2024-01-01 02:47:00,click,8
2024-01-01 02:48:00,click,27
2024-01-01 02:49:00,page_view,20
2024-01-01 02:50:00,page_view,19
2024-01-01 02:51:00,click,14
2024-01-01 02:52:00,hover,7
2024-01-01 02:53:00,scroll,5
2024-01-01 02:54:00,scroll,18
2024-01-01 02:55:00,hover,2
2024-01-01 02:56:00,scroll,11
2024-01-01 02:57:00,click,22
2024-01-01 02:58:00,click,8
2024-01-01 02:59:00,purchase,1
2024-01-01 03:00:00,click,27
2024-01-01 03:01:00,scroll,22
